Fungicide,FRAC Group,Active Ingredient,Phomopsis Cane and Leaf Spot,Black Rot,Downy Mildew,Powdery Mildew,Botrytis Rot,Bitter Rot,Anthracnose
Abound/Azaka a,11,azoxystrobin,++,+++,+++,+++,+,--,+++
Actinovate AG,BM02,Streptomyces lydicus (strain WYEC 108),--,--,--,+,+,--,--
Aliette,P07,aluminum tris,0,0,+++,0,0,0,0
Aprovia,7,benzovindiflupyr,++,++,0,+++,++,--,++
Aprovia Top,"7,3","benzovindiflupyr, difenoconazole",++,++,0,++,0,0,++
Armicarb,NC,potassium bicarbonate,0,0,0,++,0,0,--
Badge SC/ Badge X 2,BM02,"copper oxychloride, copper hydroxide",+,+,+++,+,0,--,--
Bordeaux mix b,"M01,M02","copper sulfate, lime",++,++,+++,+++,++,--,--
Captan/Captec,M04,captan,+++,+,+,0,+++,++,++
Cevya j,3,mefentrifluconazole,+++,++,0,+++,--,--,--
Champ Formula 2,M01,copper hydroxide,+,+,+++,+,++,--,--
Copper & lime,"M01,M02","copper, lime",+,+,+++,++,0,--,--
Cueva,M01,copper octanoate,+,+,++,+,0,--,--
Dithane/Manzate/Penncoeb f,M03,mancozeb,+++,+++,0,0,++,--,+
Double Nickel,BM02,Bacillus amyloliquefaciens (strain D747),--,--,--,++,++,--,--
EcoSwing,BM01,Swinglea glutinosa extract,0,0,0,--,--,0,0
Elevate,17,fenhexamid,0,0,0,+,+++,0,--
Elite/Tebuzole/Toledo d,3,tebuconazole,0,+++,0,+++,0,0,++
Endura,7,boscalid,0,0,0,+++,++/+++,0,+++
Ferbam,M03,ferric dimethyldithiocarbamate,+,+++,+,0,0,+,--
Fervent,"3,7","isofetamid, tebuconazole",++,++,0,+++,+++,--,--
Fixed Copper c,M01,various coppers,+,+,+++,++,++,+,--
Flint a,11,trifloxystrobin,++,+++,+,+++,++/+++,0,--
Fracture,BM01,(BLAD) Lupine seed extract,--,0,0,+/++,++/+++,,
Gavel,M03,mancozeb,++,++,+++,+,0,--,+
Inspire Super,"3,9","difenoconazole, cyprodinil",0/+,+++,0,+++,+++,--,++
JMS Stylet Oil,NC,mineral oil,0,0,0,+++,+,0,--
Kaligreen,NC,potassium bicarbonate,0,0,0,++,0,0,0
Kenja,7,isofetamid,--,--,0,+++,+++,--,--
Kumulus DF h,M02,sulfur,+,0,0,+++,0,--,--
Lifegard,BM02,Bacillus mycoides (isolate J),++,++,+++,+++,0,0,0
Lime Sulfur,M02,calcium polysulfide,+,--,0,0,0,0,+
Luna Experience,"3,7",tebuconazole,0,+++/+,0,+++,+++/+,--,--
Luna Sensation k,"7,11","fluopyram, trifloxystrobin",0,++,0,+++,+++,--,--
Meteor,2,iprodione,0,0,0,0,+++,--,--
MicroSulf,M02,Sulfur,0,0,0,++,0,0,0
Milstop,NC,potassium bicarbonate,0,0,--,++,0,0,0
Miravis Prime,"7,12","pydiflumetofen, fludioxonil",++,++,0,++,++,0,++
Mettle 125ME,3,tetraconizole,--,+++,0,+++,0,0,+++
Nordox,M01,cuprous oxide,+,+,+++,+,0,--,--
Nu-Cop 50 WP,M01,copper hydroxide,+,+,+++,+,0,--,--
Orius,3,tebuconazole,0,+++,0,+++,0,--,--
OSO,19,polyoxin-D zinc salt,--,+,+,++,++,--,--
Oxidate,NC,hydrogen peroxide,--,--,--,+,--,--,--
Ph-D,19,polyoxin-D zinc salt,--,--,0,++,++,--,--
pHorcepHite,P07,monopotassium phosphate,0,0,++,0,0,0,0
Presidio,43,fluopicolide,0,0,+++,0,0,0,0
Pristine,"7,11","boscalid, pyraclostrobin",++,+++,+++,+++,++/+++,--,+++
Procure/Viticure d,3,triflumizole,0,++,0,+++,0,0,--
Prolivo,50,pyriofenone,--,--,--,+++,--,--,--
ProPhyt/Phostrol,P07,potassium phosphite,0,0,+++,0,0,0,--
Quadris Top a,"11,3","azoxystrobin, difenoconazole",++,+++,++,+++,++,--,+++
Quintec,13,quinoxyfen,0,0,0,+++,0,0,0
Rally d,3,myclobutanil,0,+++,0,+++,0,0,+++
Rampart,P07,phosphorus acid,0,0,+++,0,0,0,--
Ranman,21,cyazofamid,0,0,+++,0,0,0,0
Reason,11,fenamidone,0,0,+++,0,0,0,0
Regalia,P05,Reynoutria sachalinensis extract,--,--,++/+++,0,--,--,--
Revus,40,mandipropamid,0,0,+++,0,0,0,0
Revus Top,"40,3","mandipropamid, difenoconazole",+,+++,+++,+++,0,0,++
Rhyme,3,flutriafol,0,+++,0,+++,0,--,--
Ridomil g,4,mefenoxam,+,+,+++,+,0,++,--
Ridomil Gold MZ g,"4,M03","mefenoxam, mancozeb",++,++,+++,--,0,--,--
Ridomil Gold Copper g,"4,M03","mefenoxam, copper hydroxide",--,--,+++,0,--,--,--
Rovral e,2,iprodione,0,0,0,0,+++,0,--
Scala,9,pyrimethanil,0,0,0,+,+++,0,--
Serenade,BM02,Bacillus subtilus (strain QST 713),0,0,0,0,+,--,--
Sonata,BM02,Bacillus pumilus (strain QST 713),--,--,+,++,+,--,--
Sovran a,11,kresoxim-methyl,++,+++,++,+++,++,0,+++
SuffOil-X,NC,mineral oil,0,0,0,--,--,0,0
SulfOMEX,M02,"monopotassium phosphate, sulfur",0,0,0,--,0,0,0
Sulforix,M02,calcium polysulfide,+,--,0,0,0,0,+
Sulfur h,M02,sulfur,+,0,0,+++,0,0,--
Switch,"9,12","cyprodinil, fludioxonil",0,0,0,+,+++,--,--
Thiolux h,M02,sulfur,+,0,0,+++,0,--,--
Topguard,"11,3","axoxystrobin, flutriafol",+,+++,++,+++,+,--,--
Topsin-M i,1,thiophanate-methyl,+,+,0,+++,++ i,++,+++
Torino,U06,cyflufenamid,0,0,0,+++,0,--,--
Trilogy,IRAC 18B,neem oil,--,--,--,++,--,--,--
Vangard,9,cyprodinil,0,0,0,+,+++,0,--
Viathon,"3,33,P07","potassium phosphite, tebuconazole",0,++,+,+++,++,--,--
Vintage,3,fenarimol,0,++,0,+++,0,0,++
Vivando,47/50,metrafenone,0,0,0,+++,0,0,0
Zampro,"45,40","ametoctradin, dimethomorph",0,0,+++,0,0,--,--
Ziram,M03,ziram,+++,+++,++,0,0,0,++
